run_id,condition,is_injected_failure,model_validation,evidence_complete,ai_discovery_present,evaluation_result,approval,trace_consistent,run_available,baseline_verdict,gate_verdict,expected_gate_verdict
fi-0001,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0002,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0003,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0004,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0005,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0006,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0007,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0008,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0009,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0010,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0011,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0012,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0013,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0014,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0015,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0016,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0017,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0018,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0019,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0020,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0021,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0022,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0023,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0024,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0025,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0026,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0027,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0028,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0029,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0030,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0031,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0032,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0033,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0034,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0035,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0036,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0037,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0038,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0039,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0040,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0041,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0042,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0043,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0044,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0045,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0046,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0047,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0048,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0049,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0050,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0051,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0052,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0053,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0054,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0055,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0056,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0057,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0058,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0059,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0060,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0061,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0062,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0063,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0064,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0065,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0066,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0067,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0068,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0069,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0070,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0071,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0072,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0073,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0074,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0075,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0076,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0077,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0078,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0079,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0080,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0081,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0082,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0083,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0084,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0085,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0086,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0087,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0088,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0089,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0090,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0091,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0092,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0093,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0094,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0095,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0096,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0097,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0098,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0099,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0100,valid,False,passed,True,True,pass,granted,True,True,VALID,VALID,VALID
fi-0101,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0102,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0103,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0104,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0105,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0106,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0107,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0108,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0109,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0110,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0111,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0112,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0113,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0114,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0115,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0116,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0117,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0118,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0119,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0120,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0121,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0122,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0123,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0124,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0125,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0126,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0127,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0128,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0129,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0130,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0131,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0132,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0133,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0134,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0135,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0136,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0137,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0138,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0139,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0140,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0141,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0142,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0143,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0144,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0145,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0146,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0147,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0148,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0149,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0150,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0151,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0152,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0153,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0154,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0155,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0156,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0157,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0158,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0159,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0160,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0161,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0162,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0163,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0164,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0165,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0166,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0167,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0168,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0169,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0170,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0171,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0172,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0173,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0174,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0175,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0176,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0177,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0178,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0179,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0180,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0181,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0182,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0183,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0184,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0185,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0186,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0187,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0188,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0189,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0190,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0191,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0192,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0193,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0194,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0195,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0196,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0197,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0198,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0199,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0200,noisy_but_valid,False,failed,True,True,pass,granted,True,True,INVALID,VALID,VALID
fi-0201,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0202,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0203,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0204,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0205,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0206,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0207,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0208,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0209,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0210,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0211,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0212,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0213,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0214,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0215,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0216,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0217,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0218,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0219,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0220,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0221,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0222,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0223,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0224,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0225,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0226,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0227,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0228,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0229,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0230,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0231,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0232,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0233,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0234,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0235,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0236,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0237,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0238,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0239,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0240,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0241,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0242,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0243,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0244,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0245,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0246,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
fi-0247,missing_audit_evidence,True,passed,False,True,pass,granted,True,True,VALID,BLOCKED,BLOCKED
